iter	Passed	Remaining
0	137	137596
1	138	68996
2	138	46129
3	139	34683
4	139	27810
5	140	23231
6	140	19958
7	141	17508
8	141	15598
9	142	14068
10	142	12816
11	143	11775
12	143	10892
13	143	10135
14	144	9481
15	144	8915
16	145	8410
17	145	7959
18	146	7556
19	146	7192
20	147	6864
21	147	6566
22	148	6293
23	148	6046
24	149	5817
25	149	5604
26	150	5408
27	150	5229
28	151	5062
29	151	4903
30	152	4754
31	152	4614
32	153	4484
33	153	4360
34	153	4244
35	154	4133
36	154	4030
37	155	3931
38	155	3838
39	156	3749
40	156	3666
41	157	3587
42	157	3510
43	158	3437
44	158	3366
45	159	3299
46	159	3234
47	159	3173
48	160	3113
49	160	3057
50	161	3002
51	161	2949
52	162	2898
53	162	2851
54	163	2805
55	163	2759
56	164	2715
57	164	2673
58	165	2632
59	165	2593
60	165	2555
61	166	2517
62	166	2481
63	167	2447
64	167	2413
65	168	2380
66	168	2349
67	169	2319
68	169	2290
69	170	2261
70	170	2233
71	171	2206
72	171	2179
73	172	2153
74	172	2127
75	172	2102
76	173	2078
77	173	2055
78	174	2032
79	174	2009
80	175	1988
81	175	1968
82	176	1945
83	176	1924
84	177	1905
85	177	1886
86	177	1867
87	178	1848
88	178	1830
89	179	1812
90	179	1795
91	180	1778
92	180	1761
93	181	1746
94	181	1731
95	191	1807
96	192	1792
97	193	1776
98	193	1760
99	193	1745
100	194	1730
101	194	1715
102	195	1701
103	195	1687
104	196	1673
105	196	1659
106	197	1645
107	197	1632
108	198	1619
109	198	1606
110	199	1593
111	199	1581
112	199	1569
113	200	1557
114	200	1545
115	201	1534
116	201	1523
117	202	1512
118	202	1501
119	203	1490
120	203	1479
121	204	1468
122	204	1458
123	204	1447
124	205	1437
125	205	1427
126	206	1417
127	206	1407
128	207	1398
129	207	1389
130	208	1380
131	208	1371
132	209	1362
133	209	1353
134	209	1345
135	210	1336
136	210	1327
137	211	1319
138	211	1311
139	212	1303
140	212	1295
141	212	1286
142	213	1278
143	213	1271
144	214	1264
145	214	1257
146	215	1249
147	215	1242
148	216	1235
149	216	1228
150	217	1221
151	217	1214
152	218	1207
153	218	1200
154	218	1193
155	219	1187
156	220	1181
157	220	1175
158	221	1169
159	221	1163
160	221	1156
161	222	1150
162	222	1143
163	223	1138
164	223	1132
165	224	1126
166	224	1120
167	225	1114
168	225	1109
169	226	1103
170	226	1098
171	227	1093
172	227	1088
173	228	1082
174	228	1077
175	229	1072
176	229	1067
177	229	1061
178	230	1056
179	230	1051
180	231	1046
181	231	1041
182	232	1036
183	232	1032
184	233	1027
185	233	1022
186	234	1018
187	234	1013
188	235	1008
189	235	1004
190	236	999
191	236	995
192	236	990
193	237	986
194	237	981
195	238	977
196	238	973
197	239	968
198	239	964
199	240	960
200	240	956
